HSCs ;LMPP ;GMP ;basophil/Mastcell progenitors ;MEP ;megakaryocytic progenitors ;erythroid progenitors ;neutrophil progenitors;Neutrophils ;Myeloid progenitors ;monocyte progenitors ;eosinophil progenitors ;basophil progenitors
;;;;Cct5;;;;;;;;
;;;;Hmmr;;;;;;;;
;;;;Uros;;;;;;;;
;;;;Eif3b;;;;;;;;
;;;;Aspm;;;;;;;;
;;;;Slc16a1;;;;;;;;
;;;;Tomm22;;;;;;;;
;;;;Smim1;;;;;;;;
;;;;Nup88;;;;;;;;
;;;;Nubp2;;;;;;;;
;;;;Cited4;;;;;;;;
;;;;Klf3;;;;;;;;
;;;;Slbp;;;;;;;;
;;;;Mylk3;;;;;;;;
;;;;Optn;;;;;;;;
;;;;Hnrnpll;;;;;;;;
;;;;Ugcg;;;;;;;;
;;;;Slc26a1;;;;;;;;
;;;;Spta1;;;;;;;;
;;;;Bysl;;;;;;;;
;;;;Cenpf;;;;;;;;
;;;;Wdr43;;;;;;;;
;;;;Cse1l;;;;;;;;
;;;;Canx;;;;;;;;
;;;;Prdx6;;;;;;;;
;;;;St3gal5;;;;;;;;
;;;;Ptdss2;;;;;;;;
;;;;Thumpd3;;;;;;;;
;;;;Necap2;;;;;;;;
;;;;Usp46;;;;;;;;
;;;;Dck;;;;;;;;
;;;;Gclm;;;;;;;;
;;;;Cct6a;;;;;;;;
;;;;Nmd3;;;;;;;;
;;;;Rhag;;;;;;;;
;;;;Eprs;;;;;;;;
;;;;Eif2b1;;;;;;;;
;;;;Atp5f1;;;;;;;;
;;;;Smc2;;;;;;;;
;;;;Gtf2h1;;;;;;;;
;;;;Tfr2;;;;;;;;
;;;;Leprot;;;;;;;;
;;;;Tmem64;;;;;;;;
;;;;Prdx3;;;;;;;;
;;;;Arl6ip6;;;;;;;;
;;;;Cnr2;;;;;;;;
;;;;Uqcrc1;;;;;;;;
;;;;Rhd;;;;;;;;
;;;;Tspan33;;;;;;;;
;;;;Stx2;;;;;;;;
;;;;Hemgn;;;;;;;;
;;;;2210016F16Rik;;;;;;;;
;;;;Slc20a1;;;;;;;;
;;;;Ckap2l;;;;;;;;
;;;;Hebp1;;;;;;;;
;;;;Ldha;;;;;;;;
;;;;Psme3;;;;;;;;
;;;;Ucp2;;;;;;;;
;;;;Sdsl;;;;;;;;
;;;;Clic4;;;;;;;;
;;;;Ints8;;;;;;;;
;;;;Arhgap19;;;;;;;;
;;;;Prc1;;;;;;;;
;;;;D1Ertd622e;;;;;;;;
;;;;8430419L09Rik;;;;;;;;
;;;;Sep 08;;;;;;;;
;;;;Aqp1;;;;;;;;
;;;;Creg1;;;;;;;;
;;;;Taf12;;;;;;;;
;;;;Hcfc1;;;;;;;;
;;;;Sh2d4a;;;;;;;;
;;;;Ubac1;;;;;;;;
;;;;Ncl;;;;;;;;
;;;;Ermap;;;;;;;;
;;;;Urod;;;;;;;;
;;;;Carhsp1;;;;;;;;
;;;;Hmgb3;;;;;;;;
;;;;Paqr9;;;;;;;;
;;;;Stard10;;;;;;;;
;;;;Pno1;;;;;;;;
;;;;Cct3;;;;;;;;
;;;;Eps15;;;;;;;;
;;;;Btaf1;;;;;;;;
;;;;Rars;;;;;;;;
;;;;Myh10;;;;;;;;
;;;;Tomm70a;;;;;;;;
;;;;Ddost;;;;;;;;
;;;;Cpox;;;;;;;;
;;;;Mtch2;;;;;;;;
;;;;Umps;;;;;;;;
;;;;Mrpl37;;;;;;;;
;;;;Slc43a1;;;;;;;;
;;;;Ndufa10;;;;;;;;
;;;;Abcb10;;;;;;;;
;;;;Elac2;;;;;;;;
;;;;Spcs3;;;;;;;;
;;;;Slc43a3;;;;;;;;
;;;;Dnajc11;;;;;;;;
;;;;Hba-a1;;;;;;;;
;;;;Ubash3a;;;;;;;;
;;;;Isg20;;;;;;;;
;;;;Crip2;;;;;;;;
;;;;Cox4i1;;;;;;;;
;;;;Sphk1;;;;;;;;
;;;;Usp10;;;;;;;;
;;;;Tfrc;;;;;;;;
;;;;Shcbp1;;;;;;;;
;;;;Cacybp;;;;;;;;
;;;;Mapk9;;;;;;;;
;;;;Pidd1;;;;;;;;
;;;;Cltc;;;;;;;;
;;;;Cyth3;;;;;;;;
;;;;Fam134a;;;;;;;;
;;;;Nol9;;;;;;;;
;;;;Hba-a2;;;;;;;;
;;;;Slc25a38;;;;;;;;
;;;;Srsf1;;;;;;;;
;;;;Col5a1;;;;;;;;
;;;;Prss50;;;;;;;;
;;;;Xpnpep1;;;;;;;;
;;;;Sptb;;;;;;;;
;;;;Mar 05;;;;;;;;
;;;;Tuba1b;;;;;;;;
;;;;Gm12346;;;;;;;;
;;;;Phf5a;;;;;;;;
;;;;Cbx5;;;;;;;;
;;;;Ftsj3;;;;;;;;
;;;;Tmem97;;;;;;;;
;;;;Reep6;;;;;;;;
;;;;Bsg;;;;;;;;
;;;;Xrcc6;;;;;;;;
;;;;Ncln;;;;;;;;
;;;;Slc11a2;;;;;;;;
;;;;Nup155;;;;;;;;
;;;;Golph3;;;;;;;;
;;;;Gfi1b;;;;;;;;
;;;;C330027C09Rik;;;;;;;;
;;;;Eif1ad;;;;;;;;
;;;;Cct8;;;;;;;;
;;;;Stip1;;;;;;;;
;;;;Vkorc1l1;;;;;;;;
;;;;Knstrn;;;;;;;;
;;;;Acss1;;;;;;;;
;;;;Lrrc59;;;;;;;;
;;;;Nptn;;;;;;;;
;;;;Rad51;;;;;;;;
;;;;Trmt6;;;;;;;;
;;;;Strap;;;;;;;;
;;;;Ncaph;;;;;;;;
;;;;Fpgs;;;;;;;;
;;;;Snrnp200;;;;;;;;
;;;;Hspa8;;;;;;;;
;;;;Vamp5;;;;;;;;
;;;;Snca;;;;;;;;
;;;;Cct7;;;;;;;;
;;;;Ptcd3;;;;;;;;
;;;;Add2;;;;;;;;
;;;;Fam136a;;;;;;;;
;;;;Abcg4;;;;;;;;
;;;;Atp5b;;;;;;;;
;;;;Gm15915;;;;;;;;
;;;;Mars;;;;;;;;
;;;;Metap2;;;;;;;;
;;;;Gucd1;;;;;;;;
;;;;Pa2g4;;;;;;;;
;;;;1700006J14Rik;;;;;;;;
;;;;Slc16a10;;;;;;;;
;;;;Crip1;;;;;;;;
;;;;Mllt3;;;;;;;;
;;;;Hba-a1;;;;;;;;
;;;;Smim1;;;;;;;;
;;;;Gata1;;;;;;;;
